Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Nativeness,Abundance,NPS Tags,References,Observations,Vouchers,T&E,State Status,GRank,SRank
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91707,180316.0,Active,Microtus townsendii,Townsend's Vole,,Accepted,No,Approved,Present,Native,Unknown,Breeder,14.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91768,180371.0,Active,Neotoma cinerea,Bushy-Tailed Woodrat,,Accepted,No,Approved,Present,Native,Common,Breeder,10.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91770,180373.0,Active,Neotoma fuscipes,Dusky-Footed Woodrat,,Accepted,No,Approved,Present,Native,Common,Breeder,38.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91709,180318.0,Active,Ondatra zibethicus,Muskrat,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,12.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,90750,180282.0,Active,Peromyscus boylii,"Brush Deermouse, Brush Mouse",,Accepted,No,Approved,Probably Present,Native,,,5.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,90743,180276.0,Active,Peromyscus maniculatus,Deer Mouse,Peromyscus maniculatus rubidus,Accepted,No,Approved,Present,Native,Common,Breeder,43.0,,2.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,90760,180291.0,Active,Peromyscus truei,Pinyon Mouse,,Accepted,No,Approved,Probably Present,Native,,,11.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,668180,-745079.0,Active,Phenacomys albipes,,,Accepted,No,Approved,Present,Native,Unknown,Breeder,4.0,,,,,,
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,668187,-745082.0,Active,Phenacomys longicaudus,,,Accepted,No,Approved,Present,Native,Unknown,Breeder,3.0,,,,,,
REDW,Redwood National Park,Mammal,1,Rodentia,Cricetidae,91737,180343.0,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,30.0,,1.0,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Dipodidae,91786,180388.0,Active,Zapus trinotatus,Pacific Jumping Mouse,,Accepted,No,Approved,Present,Native,Unknown,,19.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Rodentia,Erethizontidae,91792,180393.0,Active,Erethizon dorsatum,Porcupine,,Accepted,No,Approved,Present,Native,Uncommon,Breeder,24.0,,1.0,,,G5,CA: S3
REDW,Redwood National Park,Mammal,1,Rodentia,Geomyidae,90684,180222.0,Active,Thomomys bottae,Botta's Pocket Gopher,,Accepted,No,Approved,Present,Native,Common,Breeder,31.0,,,,,G5,CA: SNR
